Overall Rank,Name,Position,Position Rank,Team,Receptions,Receiving Yards,Receiving TDs,Rushing Yards,Rushing Touchdowns,Passing Yards,Passing Touchdowns,Turnovers,Total Fantasy Points,Tier
34,DeVonta Smith,WR,16,Philadelphia Eagles,67.5,850.5,5.5,0,0,0,0,4,147.8,3
35,Javonte Williams,RB,16,Dallas Cowboys,,,,,,,,,,3
36,Garrett Wilson,WR,17,New York Jets,77.5,925.5,4.5,0,0,0,0,4,154.3,3
37,Lamar Jackson,QB,2,Baltimore Ravens,0,0,0,750.5,3.5,3450.5,28.5,20,328.07,1
38,Jaylen Waddle,WR,18,Denver Broncos,65.5,925.5,5,0,0,0,0,4,151.3,3
39,Breece Hall,RB,17,New York Jets,40.5,350.5,1.5,875.5,5.5,0,0,6,178.85,3
40,Tetairoa McMillan,WR,19,Carolina Panthers,60.5,800.5,4.5,0,0,0,0,4,133.3,3
41,Zay Flowers,WR,20,Baltimore Ravens,65.5,900.5,4.5,40.5,0,0,0,4,149.85,4
42,Travis Etienne,RB,18,New Orleans Saints,32.5,225.5,0.5,500.5,3.5,0,0,6,106.85,4
43,Ladd McConkey,WR,21,Los Angeles Chargers,77.5,1025.5,6.5,0,0,0,0,4,176.3,4
44,Cam Skattebo,RB,19,New York Giants,17.5,150.5,0.5,475.5,4.5,0,0,6,95.35,4
45,Jayden Daniels,QB,3,Washington Commanders,0,0,0,725.5,5.5,3400.5,23.5,20,315.57,1
46,Davante Adams,WR,22,Los Angeles Rams,72.5,950.5,7.5,0,0,0,0,4,172.3,4
47,Quinshon Judkins,RB,20,Cleveland Browns,19.5,150.5,0.5,675.5,4.5,0,0,6,116.35,4
48,Drake Maye,QB,4,New England Patriots,0,0,0,475.5,4,3275.5,19.5,20,260.57,2
49,Jalen Hurts,QB,5,Philadelphia Eagles,0,0,0,600.5,12.5,3175.5,19.5,20,320.07,2
50,Jameson Williams,WR,23,Detroit Lions,52.5,875.5,5.5,35.5,0.5,0,0,4,149.35,4
51,Joe Burrow,QB,6,Cincinnati Bengals,0,0,0,149.5,2.5,4150.5,33.5,20,309.97,2
52,D'Andre Swift,RB,21,Chicago Bears,40.5,325.5,1,800.5,5.5,0,0,6,165.85,4
53,Colston Loveland,TE,3,Chicago Bears,45.5,575.5,4,0,0,0,0,4,100.3,2
54,Bucky Irving,RB,22,Tampa Bay Buccaneers,42.5,349.5,1.5,1000.5,7.5,0,0,6,204.25,4
55,David Montgomery,RB,23,Houston Texans,25.5,225.5,0.5,725.5,8.5,0,0,6,155.85,4
56,Rome Odunze,WR,24,Chicago Bears,57.5,825.5,5.5,0,0,0,0,4,140.3,4
57,Mike Evans,WR,25,San Francisco 49ers,67.5,950.5,7.5,0,0,0,0,4,169.8,4
58,Terry McLaurin,WR,26,Washington Commanders,72.5,1000.5,6.5,0,0,0,0,4,171.3,4
59,Tyler Warren,TE,4,Indianapolis Colts,50.5,525.5,4.5,0,0,0,0,4,100.8,2
60,Christian Watson,WR,27,Green Bay Packers,,,,,,,,,,5
61,Jadarian Price,RB,24,Seattle Seahawks,,,,,,,,,,5
62,DK Metcalf,WR,28,Pittsburgh Steelers,67.6,950.5,6.5,0,0,0,0,4,163.85,5
63,Alec Pierce,WR,29,Indianapolis Colts,,,,,,,,,,5
64,Luther Burden III,WR,30,Chicago Bears,,,,,,,,,,5
65,Sam LaPorta,TE,5,Detroit Lions,62.5,675.5,6.5,0,0,0,0,4,133.8,2
66,DJ Moore,WR,31,Buffalo Bills,75.5,975.5,6.5,30.5,0,0,0,4,173.35,5
67,Bhayshul Tuten,RB,25,Jacksonville Jaguars,,,,,,,,,,5
68,Carnell Tate,WR,32,Tennessee Titans,,,,,,,,,,5
69,Tony Pollard,RB,26,Tennessee Titans,32.5,200.5,0.5,875.5,5.5,0,0,6,153.85,5
70,Marvin Harrison Jr.,WR,33,Arizona Cardinals,65.5,950.5,6.5,0,0,0,0,4,162.8,5
71,Tucker Kraft,TE,6,Green Bay Packers,47.5,625.5,3.5,0,0,0,0,4,103.3,2
72,TreVeyon Henderson,RB,27,New England Patriots,27.5,250.5,1.5,700.5,4.5,0,0,6,138.85,5
73,RJ Harvey,RB,28,Denver Broncos,30.5,225.5,1,700.5,4.5,0,0,6,134.85,5
74,Jordyn Tyson,WR,34,New Orleans Saints,,,,,,,,,,6
75,Harold Fannin Jr.,TE,7,Cleveland Browns,,,,,,,,,,3
76,J.K. Dobbins,RB,29,Denver Broncos,22.5,150.5,0.5,599.5,4.5,0,0,6,110.25,6
77,Parker Washington,WR,35,Jacksonville Jaguars,,,,,,,,,,6
78,Chuba Hubbard,RB,30,Carolina Panthers,25.5,150.5,0.5,950.5,6.5,0,0,6,158.85,6
79,Patrick Mahomes,QB,7,Kansas City Chiefs,0,0,0,274.5,1.5,4000.5,27.5,20,286.47,2
80,Trevor Lawrence,QB,8,Jacksonville Jaguars,0,0,0,175.5,3.5,3650.5,22.5,20,254.57,3
81,Kyle Pitts,TE,8,Atlanta Falcons,,,,,,,,,,3
82,Jordan Addison,WR,36,Minnesota Vikings,55.5,625.5,7.5,0,0,0,0,4,131.3,6
83,Courtland Sutton,WR,37,Denver Broncos,62.5,875.5,6.5,0,0,0,0,4,153.8,6
84,Brock Purdy,QB,9,San Francisco 49ers,0,0,0,175.5,2.5,3800.5,24,20,260.57,3
85,Brian Thomas Jr.,WR,38,Jacksonville Jaguars,77.5,1150.5,6.5,30.5,0,0,0,4,191.85,6
86,Dak Prescott,QB,10,Dallas Cowboys,0,0,0,125.5,1.5,3825.5,26.5,20,260.57,3
87,Chris Godwin Jr.,WR,39,Tampa Bay Buccaneers,62.5,725.5,6.5,0,0,0,0,4,138.8,6
88,Caleb Williams,QB,11,Chicago Bears,0,0,0,425.5,2,3600.5,22.5,20,268.57,3
89,Justin Herbert,QB,12,Los Angeles Chargers,0,0,0,250.5,2.5,3650.5,22.5,20,256.07,3
90,Michael Wilson,WR,40,Arizona Cardinals,,,,,,,,,,6
91,Makai Lemon,WR,41,Philadelphia Eagles,,,,,,,,,,6
92,Jordan Mason,RB,31,Minnesota Vikings,12.5,75.5,0.5,600.5,4,0,0,6,94.85,6
93,Rico Dowdle,RB,32,Pittsburgh Steelers,,,,,,,,,,6
94,Blake Corum,RB,33,Los Angeles Rams,,,,,,,,,,6
95,George Kittle,TE,9,San Francisco 49ers,65.5,900.5,6.5,0,0,0,0,4,157.8,3
96,Wan'Dale Robinson,WR,42,Tennessee Titans,,,,,,,,,,7
97,Jakobi Meyers,WR,43,Jacksonville Jaguars,70.5,800.5,4.5,0,0,0,0,4,138.3,7
98,Deebo Samuel Sr.,WR,44,Washington Commanders,55.5,675.5,3.5,100.5,0.5,0,0,4,125.35,7
99,Jaylen Warren,RB,34,Pittsburgh Steelers,39.5,275.5,0.5,575.5,4.5,0,0,6,128.85,7
100,Kyle Monangai,RB,35,Chicago Bears,,,,,,,,,,7
101,Jaxson Dart,QB,13,New York Giants,,,,,,,,,,3
102,Travis Kelce,TE,10,Kansas City Chiefs,82.5,700.5,4.5,0,0,0,0,4,134.3,3
103,Quentin Johnston,WR,45,Los Angeles Chargers,,,,,,,,,,7
104,Jayden Reed,WR,46,Green Bay Packers,49.5,675.5,4.5,75.5,0.5,0,0,4,125.85,7
105,Jacory Croskey-Merritt,RB,36,Washington Commanders,,,,,,,,,,7
106,Jake Ferguson,TE,11,Dallas Cowboys,57.5,550.5,3.5,0,0,0,0,4,100.8,3
107,Kenneth Gainwell,RB,37,Tampa Bay Buccaneers,,,,,,,,,,7
108,Matthew Stafford,QB,14,Los Angeles Rams,,,,,,,,,,4
109,Baker Mayfield,QB,15,Tampa Bay Buccaneers,0,0,0,225.5,1.5,3800.5,28.5,20,277.57,4
110,Mark Andrews,TE,12,Baltimore Ravens,52.5,600.5,6,0,0,0,0,4,118.3,4
111,Bo Nix,QB,16,Denver Broncos,0,0,0,425.5,4,3475.5,24.5,20,283.57,4
112,Jerry Jeudy,WR,47,Cleveland Browns,70.5,900.5,3.5,0,0,0,0,4,142.3,7
113,KC Concepcion,WR,48,Cleveland Browns,,,,,,,,,,8
114,Oronde Gadsden II,TE,13,Los Angeles Chargers,,,,,,,,,,4
115,Brenton Strange,TE,14,Jacksonville Jaguars,,,,,,,,,,4
116,Rashid Shaheed,WR,49,Seattle Seahawks,,,,,,,,,,8
117,Jalen Coker,WR,50,Carolina Panthers,,,,,,,,,,8
118,Aaron Jones,RB,38,Minnesota Vikings,42.5,299.5,0.5,725.5,3.5,0,0,6,141.75,7
119,Jonathon Brooks,RB,39,Carolina Panthers,,,,,,,,,,7
120,Jordan Love,QB,17,Green Bay Packers,0,0,0,125.5,1.5,3550.5,25.5,20,245.57,4
121,Xavier Worthy,WR,51,Kansas City Chiefs,65.5,875.5,6.5,65.5,1.5,0,0,4,170.85,8
122,Tyjae Spears,RB,40,Tennessee Titans,27.5,200.5,0.5,425.5,3,0,0,6,91.35,8
123,Isiah Pacheco,RB,41,Detroit Lions,20.5,135.5,0.5,725.5,4.5,0,0,6,120.35,8
124,T.J. Hockenson,TE,15,Minnesota Vikings,65.5,700.5,3.5,0,0,0,0,4,119.8,4
125,Travis Hunter,WR,52,Jacksonville Jaguars,59.5,750.5,4.5,0,0,0,0,4,127.8,8
126,Michael Pittman,WR,53,Pittsburgh Steelers,57.5,750.5,3.5,0,0,0,0,4,120.8,8
127,Dalton Kincaid,TE,16,Buffalo Bills,50.5,575.5,3.5,0,0,0,0,4,99.8,4
128,Khalil Shakir,WR,54,Buffalo Bills,57.5,775.5,4,0,0,0,0,4,126.3,8
129,Calvin Ridley,WR,55,Tennessee Titans,60.5,925.5,5.5,24.5,0,0,0,4,154.25,9
130,Jared Goff,QB,18,Detroit Lions,0,0,0,49.5,0.5,3850.5,28.5,20,255.97,5
131,Kyler Murray,QB,19,Minnesota Vikings,0,0,0,475.5,4.5,3375.5,20.5,20,271.57,5
132,Isaiah Likely,TE,17,New York Giants,,,,,,,,,,4
133,Tyler Allgeier,RB,42,Arizona Cardinals,,,,,,,,,,8
134,Jayden Higgins,WR,56,Houston Texans,,,,,,,,,,9
135,Rachaad White,RB,43,Washington Commanders,,,,,,,,,,8
136,Juwan Johnson,TE,18,New Orleans Saints,,,,,,,,,,5
137,Woody Marks,RB,44,Houston Texans,,,,,,,,,,8
138,Dallas Goedert,TE,19,Philadelphia Eagles,,,,,,,,,,5
139,Josh Downs,WR,57,Indianapolis Colts,52.5,675.5,3.5,0,0,0,0,4,110.8,9
140,Tyrone Tracy Jr.,RB,45,New York Giants,27.5,200.5,0.5,725.5,4,0,0,6,127.35,9
141,Tyler Shough,QB,20,New Orleans Saints,,,,,,,,,,5
142,Zach Charbonnet,RB,46,Seattle Seahawks,,,,,,,,,,9
143,Cam Ward,QB,21,Tennessee Titans,,,,,,,,,,5
144,Matthew Golden,WR,58,Green Bay Packers,,,,,,,,,,9
145,David Njoku,TE,20,Los Angeles Chargers,60.5,650.5,5.5,0,0,0,0,4,124.3,5
146,Malik Willis,QB,22,Miami Dolphins,,,,,,,,,,5
147,Hunter Henry,TE,21,New England Patriots,,,,,,,,,,5
148,Chris Rodriguez Jr.,RB,47,Jacksonville Jaguars,,,,,,,,,,9
149,Romeo Doubs,WR,59,New England Patriots,,,,,,,,,,9
